ORDEM;LOTE;PRODUTO;SITUACAO;COR;DESENHO;VARIANTE;CATEGORIA;NRO_ROLO;METROS;PESO_BRUTO;PESO_LIQUIDO;LARGURA;NRO;ROLO_PL;NRO_PECA;AVISO;FORNECEDOR;TEAR;Num_Etq_Aux
000014;T237L7;000014;001;00005;00000;00000;01;0000266393;91,4;28,1;27,7;1,40;131;131;001;000249;W;000131;W000131266393001
000014;T237L7;000014;001;00005;00000;00000;01;0000266394;101,3;31,1;30,7;1,40;132;132;001;000249;W;000132;W000132266394001
000014;T237L7;000014;001;00005;00000;00000;01;0000266395;110,9;34,0;33,6;1,40;133;133;001;000249;W;000133;W000133266395001
000014;T237L7;000014;001;00005;00000;00000;01;0000266396;108,5;33,3;32,9;1,40;134;134;001;000249;W;000134;W000134266396001
000014;T237L7;000014;001;00005;00000;00000;01;0000266397;83,6;25,7;25,3;1,40;135;135;001;000249;W;000135;W000135266397001
000014;T237L7;000014;001;00005;00000;00000;01;0000266398;109,7;33,6;33,2;1,40;136;136;001;000249;W;000136;W000136266398001
000014;T237L7;000014;001;00005;00000;00000;01;0000266399;82,3;25,3;24,9;1,40;137;137;001;000249;W;000137;W000137266399001
000014;T237L7;000014;001;00005;00000;00000;01;0000266400;99,9;30,7;30,3;1,40;138;138;001;000249;W;000138;W000138266400001
000014;T237L7;000014;001;00005;00000;00000;01;0000266401;88,4;27,2;26,8;1,40;139;139;001;000249;W;000139;W000139266401001
000014;T237L7;000014;001;00005;00000;00000;01;0000266402;98,2;30,2;29,8;1,40;140;140;001;000249;W;000140;W000140266402001
000014;T237L7;000014;001;00005;00000;00000;01;0000266403;96,1;29,5;29,1;1,40;141;141;001;000249;W;000141;W000141266403001
000014;T237L7;000014;001;00005;00000;00000;01;0000266404;98,6;30,3;29,9;1,40;142;142;001;000249;W;000142;W000142266404001
000014;T237L7;000014;001;00005;00000;00000;01;0000266405;79;24,3;23,9;1,40;143;143;001;000249;W;000143;W000143266405001
000014;T237L8;000014;001;00005;00000;00000;01;0000266406;101,3;31,1;30,7;1,40;144;144;001;000249;W;000144;W000144266406001
000014;T237L8;000014;001;00005;00000;00000;01;0000266407;92;28,3;27,9;1,40;145;145;001;000249;W;000145;W000145266407001
000014;T237L8;000014;001;00005;00000;00000;01;0000266408;64,9;20,1;19,7;1,40;146;146;001;000249;W;000146;W000146266408001
000014;T237L8;000014;001;00005;00000;00000;01;0000266409;99,9;30,7;30,3;1,40;147;147;001;000249;W;000147;W000147266409001
000014;T237L8;000014;001;00005;00000;00000;01;0000266410;89,5;27,5;27,1;1,40;148;148;001;000249;W;000148;W000148266410001
000014;T237L8;000014;001;00005;00000;00000;01;0000266411;98,5;30,2;29,8;1,40;149;149;001;000249;W;000149;W000149266411001
000014;T237L8;000014;001;00005;00000;00000;01;0000266412;83;25,6;25,2;1,40;150;150;001;000249;W;000150;W000150266412001
000014;T237L8;000014;001;00005;00000;00000;01;0000266413;97,7;30,0;29,6;1,40;151;151;001;000249;W;000151;W000151266413001
000014;T237L8;000014;001;00005;00000;00000;01;0000266414;87,6;26,9;26,5;1,40;152;152;001;000249;W;000152;W000152266414001
000014;T237L8;000014;001;00005;00000;00000;01;0000266415;98,6;30,3;29,9;1,40;153;153;001;000249;W;000153;W000153266415001
000014;T237L8;000014;001;00005;00000;00000;01;0000266416;92;28,3;27,9;1,40;154;154;001;000249;W;000154;W000154266416001
000014;T237L8;000014;001;00005;00000;00000;01;0000266417;99,7;30,6;30,2;1,40;155;155;001;000249;W;000155;W000155266417001
000014;T237L8;000014;001;00005;00000;00000;01;0000266418;85;26,2;25,8;1,40;156;156;001;000249;W;000156;W000156266418001
000014;T237L8;000014;001;00005;00000;00000;01;0000266419;99,5;30,6;30,2;1,40;157;157;001;000249;W;000157;W000157266419001
000014;T237L8;000014;001;00005;00000;00000;01;0000266420;111;34,0;33,6;1,40;158;158;001;000249;W;000158;W000158266420001
000014;T237L8;000014;001;00005;00000;00000;01;0000266421;101;31,0;30,6;1,40;159;159;001;000249;W;000159;W000159266421001
000014;T237L9;000014;001;00005;00000;00000;01;0000266422;101,6;31,2;30,8;1,40;160;160;001;000249;W;000160;W000160266422001
000014;T237L9;000014;001;00005;00000;00000;01;0000266423;90,8;27,9;27,5;1,40;161;161;001;000249;W;000161;W000161266423001
000014;T237L9;000014;001;00005;00000;00000;01;0000266424;96,6;29,7;29,3;1,40;162;162;001;000249;W;000162;W000162266424001
